order_no,shop_pin,payment_confirmed_at,order_at,sqlite_exists,mysql_raw_exists,mysql_standard_exists,derived_exists,first_loaded_at,last_loaded_at,first_stat_date,last_stat_date,row_count,distinct_line_count,order_count_flag,order_status,receivable,refund_amount,excel_exists,category
3594202005226685,miyo-周,2026-08-18 13:19:10,2026-08-18 13:18:52,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,1,完成,419,0.0,False,LATER_BACKFILL
3594240006857436,miyo-周,2026-08-18 19:24:33,2026-08-18 19:24:19,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,1,完成,696,0.0,False,LATER_BACKFILL
3594247012759492,miyo-周,2026-08-18 22:54:45,2026-08-18 22:54:27,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,0,(删除)等待出库,604,475.0,False,LATER_BACKFILL
3594261015706439,miyo-周,2026-08-18 17:44:29,2026-08-18 17:44:21,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,0,(删除)等待出库,369,369.0,False,LATER_BACKFILL
3594264008977320,miyo-周,2026-08-18 15:40:14,2026-08-18 15:38:56,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,0,(删除)等待出库,168.00（系统计算中，该值仅供参考）,168.0,False,LATER_BACKFILL
3594284019318788,miyo-周,2026-08-18 19:42:55,2026-08-18 19:42:43,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,0,(删除)等待出库,519,420.0,False,LATER_BACKFILL
3594294019329354,miyo-周,2026-08-18 21:12:36,2026-08-18 21:11:55,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,0,(删除)等待出库,789.00（系统计算中，该值仅供参考）,789.0,False,LATER_BACKFILL
3594402005203351,miyo-周,2026-08-18 12:09:29,2026-08-18 12:09:12,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,0,(删除)等待出库,339.00（系统计算中，该值仅供参考）,369.0,False,LATER_BACKFILL
3594404019275274,miyo-周,2026-08-18 12:45:48,2026-08-18 12:45:32,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,1,完成,156,0.0,False,LATER_BACKFILL
3594404019452585,miyo-周,2026-08-18 23:16:21,2026-08-18 23:15:38,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,1,完成,843,0.0,False,LATER_BACKFILL
3594411009446480,miyo-周,2026-08-18 22:49:21,2026-08-18 22:49:09,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,1,完成,356,0.0,False,LATER_BACKFILL
3594411014409004,miyo-周,2026-08-18 14:35:15,2026-08-18 14:35:09,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,1,完成,719,0.0,False,LATER_BACKFILL
3594412014611332,miyo-周,2026-08-18 12:24:55,2026-08-18 12:24:50,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,1,完成,696,0.0,False,LATER_BACKFILL
3594415013845895,miyo-周,2026-08-18 11:44:41,2026-08-18 11:44:33,True,False,True,True,2026-08-27 12:36:47,2026-08-27 12:36:47,2026-08-18,2026-08-18,1,1,1,(删除)等待确认收货,662.00（系统计算中，该值仅供参考）,662.0,False,LATER_BACKFILL
